tick,simulation_time_s,w_pressed,a_pressed,d_pressed,shift_pressed,r_pressed,throttle,steer,brake,speed_mps,speed_kmh,speed_mph,heading_rad,heading_deg,location_x,location_y,location_z
144,7.200,1,0,0,0,0,1.000,0.0000,0.000,25.362,91.304,56.734,1.919485,109.978,-312.384,470.333,0.002
145,7.250,1,0,0,0,0,1.000,0.0000,0.000,25.540,91.945,57.132,1.919487,109.979,-312.819,471.529,0.002
146,7.300,1,0,0,0,0,1.000,0.0000,0.000,25.718,92.584,57.529,1.919487,109.979,-313.257,472.734,0.002
147,7.350,1,0,0,0,0,1.000,0.0000,0.000,25.895,93.223,57.926,1.919489,109.979,-313.698,473.947,0.002
148,7.400,1,0,0,0,0,1.000,0.0000,0.000,26.072,93.860,58.322,1.919489,109.979,-314.142,475.169,0.002
149,7.450,1,0,0,0,0,1.000,0.0000,0.000,26.249,94.496,58.717,1.919492,109.979,-314.589,476.398,0.002
150,7.500,1,0,0,0,0,1.000,0.0000,0.000,26.425,95.130,59.111,1.919492,109.979,-315.040,477.636,0.002
151,7.550,1,0,0,0,0,1.000,0.0000,0.000,26.601,95.764,59.505,1.919494,109.979,-315.493,478.883,0.002
152,7.600,1,0,0,0,0,1.000,0.0000,0.000,26.777,96.396,59.898,1.919494,109.979,-315.949,480.137,0.002
153,7.650,1,0,0,0,0,1.000,0.0000,0.000,26.952,97.027,60.290,1.919496,109.979,-316.408,481.400,0.002
154,7.700,1,0,0,0,0,1.000,0.0000,0.000,27.127,97.657,60.681,1.919496,109.979,-316.870,482.671,0.002
155,7.750,1,0,1,0,0,1.000,0.0800,0.000,27.302,98.286,61.072,1.919498,109.979,-317.335,483.950,0.002
156,7.800,1,0,1,0,0,1.000,0.1600,0.000,27.462,98.864,61.432,1.915845,109.770,-317.799,485.239,0.002
157,7.850,1,0,0,0,0,1.000,0.0200,0.000,27.590,99.323,61.716,1.901542,108.950,-318.254,486.538,0.002
158,7.900,1,0,0,0,0,1.000,0.0000,0.000,27.760,99.936,62.097,1.881006,107.774,-318.698,487.849,0.002
159,7.950,1,0,0,0,0,1.000,0.0000,0.000,27.933,100.559,62.484,1.865059,106.860,-319.139,489.170,0.002
160,8.000,1,0,0,0,0,1.000,0.0000,0.000,28.103,101.170,62.864,1.853477,106.196,-319.575,490.502,0.002
161,8.050,1,0,0,0,0,1.000,0.0000,0.000,28.271,101.776,63.241,1.845010,105.711,-320.002,491.846,0.002
162,8.100,1,0,0,0,0,1.000,0.0000,0.000,28.439,102.381,63.617,1.838802,105.356,-320.422,493.201,0.002
163,8.150,1,0,0,0,0,1.000,0.0000,0.000,28.608,102.987,63.993,1.834248,105.095,-320.834,494.566,0.002
164,8.200,1,0,0,0,0,1.000,0.0000,0.000,28.777,103.596,64.372,1.830907,104.903,-321.240,495.943,0.002
165,8.250,1,0,0,0,0,1.000,0.0000,0.000,28.946,104.207,64.751,1.828456,104.763,-321.640,497.330,0.002
166,8.300,1,0,0,0,0,1.000,0.0000,0.000,29.117,104.820,65.132,1.826657,104.660,-322.035,498.727,0.002
167,8.350,1,0,0,0,0,1.000,0.0000,0.000,29.287,105.433,65.513,1.825336,104.584,-322.426,500.134,0.002
168,8.400,1,0,0,0,0,1.000,0.0000,0.000,29.458,106.047,65.895,1.824363,104.528,-322.814,501.551,0.002
169,8.450,1,0,1,0,0,1.000,0.0800,0.000,29.628,106.661,66.276,1.823646,104.487,-323.200,502.977,0.002
170,8.500,1,0,1,0,0,1.000,0.1600,0.000,29.781,107.213,66.619,1.819564,104.253,-323.581,504.413,0.002
171,8.550,1,0,1,0,0,1.000,0.2400,0.000,29.933,107.758,66.958,1.808004,103.591,-323.952,505.860,0.002
172,8.600,1,0,0,0,0,1.000,0.1000,0.000,30.036,108.128,67.188,1.787475,102.415,-324.307,507.317,0.002
173,8.650,1,0,0,0,0,1.000,0.0000,0.000,30.170,108.611,67.488,1.757739,100.711,-324.642,508.785,0.002
174,8.700,1,0,0,0,0,1.000,0.0000,0.000,30.332,109.197,67.852,1.729823,99.112,-324.961,510.264,0.002
175,8.750,1,0,0,0,0,1.000,0.0000,0.000,30.488,109.755,68.199,1.708565,97.894,-325.265,511.754,0.002
176,8.800,1,0,0,0,0,1.000,0.0000,0.000,30.638,110.295,68.534,1.692232,96.958,-325.552,513.256,0.002
177,8.850,1,0,0,0,0,1.000,0.0000,0.000,30.786,110.831,68.867,1.679637,96.236,-325.819,514.769,0.002
178,8.900,1,0,0,0,0,1.000,0.0000,0.000,30.936,111.371,69.203,1.669924,95.680,-326.067,516.292,0.002
